2023-08-15 00:00:53.727[1692032453727] | INFO  | taskScheduler-4 | c.b.c.f.client.utils.RequestHandler  - GET https://fapi.binance.com/fapi/v1/openOrders?timestamp=1692032453727&signature=e7790c068a48339e115de7fa99769e082559cbbc920ef9c9b2aed1de8e696e6f
2023-08-15 00:00:54.386[1692032454386] | INFO  | taskScheduler-4 | c.b.f.service.BinanceServiceImpl     - [{"orderId":518290597,"symbol":"MINAUSDT","status":"NEW","clientOrderId":"4tnX64FdkyVrJWHtzt9rgd","price":"0","avgPrice":"0","origQty":"0","executedQty":"0","cumQuote":"0.0000000","timeInForce":"GTC","type":"TAKE_PROFIT_MARKET","reduceOnly":true,"closePosition":true,"side":"SELL","positionSide":"BOTH","stopPrice":"0.4839000","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"TAKE_PROFIT_MARKET","time":1692027914834,"updateTime":1692027914834},{"orderId":518290609,"symbol":"MINAUSDT","status":"NEW","clientOrderId":"9AW9SgW3Js1dUOvMIlElAM","price":"0","avgPrice":"0","origQty":"0","executedQty":"0","cumQuote":"0.0000000","timeInForce":"GTC","type":"STOP_MARKET","reduceOnly":true,"closePosition":true,"side":"SELL","positionSide":"BOTH","stopPrice":"0.4757000","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP_MARKET","time":1692027914942,"updateTime":1692027914942},{"orderId":282794440,"symbol":"PERPUSDT","status":"NEW","clientOrderId":"JKnOz99FCygpsUH6AsPBtF","price":"0","avgPrice":"0","origQty":"0","executedQty":"0","cumQuote":"0.0000000","timeInForce":"GTC","type":"STOP_MARKET","reduceOnly":true,"closePosition":true,"side":"SELL","positionSide":"BOTH","stopPrice":"0.525200","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP_MARKET","time":1692031678991,"updateTime":1692031678991},{"orderId":282794407,"symbol":"PERPUSDT","status":"NEW","clientOrderId":"Wx0Dek6nR4Os8IjT1z6n2X","price":"0","avgPrice":"0","origQty":"0","executedQty":"0","cumQuote":"0.0000000","timeInForce":"GTC","type":"TAKE_PROFIT_MARKET","reduceOnly":true,"closePosition":true,"side":"SELL","positionSide":"BOTH","stopPrice":"0.533300","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"TAKE_PROFIT_MARKET","time":1692031678884,"updateTime":1692031678884},{"orderId":751935826,"symbol":"LQTYUSDT","status":"NEW","clientOrderId":"y7XDswznP6RASzQ5ghfJeU","price":"0","avgPrice":"0","origQty":"0","executedQty":"0","cumQuote":"0.0000000","timeInForce":"GTC","type":"STOP_MARKET","reduceOnly":true,"closePosition":true,"side":"SELL","positionSide":"BOTH","stopPrice":"0.967000","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP_MARKET","time":1692025212859,"updateTime":1692025212859},{"orderId":4917697011,"symbol":"TOMOUSDT","status":"NEW","clientOrderId":"DR2QQCNccejP1fxXj1E8z4","price":"0","avgPrice":"0","origQty":"0","executedQty":"0","cumQuote":"0.0000","timeInForce":"GTC","type":"STOP_MARKET","reduceOnly":true,"closePosition":true,"side":"SELL","positionSide":"BOTH","stopPrice":"1.3993","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP_MARKET","time":1692031518859,"updateTime":1692031518859},{"orderId":4917697009,"symbol":"TOMOUSDT","status":"NEW","clientOrderId":"nFdpGi9T73QVFUFcQag4Qp","price":"0","avgPrice":"0","origQty":"0","executedQty":"0","cumQuote":"0.0000","timeInForce":"GTC","type":"TAKE_PROFIT_MARKET","reduceOnly":true,"closePosition":true,"side":"SELL","positionSide":"BOTH","stopPrice":"1.4229","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"TAKE_PROFIT_MARKET","time":1692031518751,"updateTime":1692031518751}]
2023-08-15 00:00:54.386[1692032454386] | INFO  | taskScheduler-4 | c.b.c.f.client.utils.RequestHandler  - DELETE https://fapi.binance.com/fapi/v1/allOpenOrders?symbol=LQTYUSDT&timestamp=1692032454386&signature=d440aa1013b1fccd5b69106e729be67e187b791cff2f993d4ad0ed6511f9ea3c
2023-08-15 00:00:54.481[1692032454481] | INFO  | taskScheduler-4 | c.b.f.service.BinanceServiceImpl     - {"code":200,"msg":"The operation of cancel all open order is done."}
2023-08-15 00:15:05.750[1692033305750] | INFO  | http-nio-8082-exec-1 | c.b.c.f.client.utils.RequestHandler  - GET https://fapi.binance.com/fapi/v2/balance?timestamp=1692033305750&signature=38c46584997c7c9c50c128cd08191b93adb7d3d04540b956b3eec9686da079bf
2023-08-15 00:15:05.750[1692033305750] | INFO  | Thread-125 | c.b.c.f.client.utils.RequestHandler  - GET https://fapi.binance.com/fapi/v1/ticker/price?symbol=LEVERUSDT
2023-08-15 00:15:06.164[1692033306164] | INFO  | http-nio-8082-exec-1 | c.b.f.service.BinanceServiceImpl     - [{"accountAlias":"XqXqFzSgmYmYTi","asset":"BTC","balance":"0.00000000","crossWalletBalance":"0.00000000","crossUnPnl":"0.00000000","availableBalance":"0.00000000","maxWithdrawAmount":"0.00000000","marginAvailable":true,"updateTime":0},{"accountAlias":"XqXqFzSgmYmYTi","asset":"XRP","balance":"0.00000000","crossWalletBalance":"0.00000000","crossUnPnl":"0.00000000","availableBalance":"0.00000000","maxWithdrawAmount":"0.00000000","marginAvailable":true,"updateTime":0},{"accountAlias":"XqXqFzSgmYmYTi","asset":"TUSD","balance":"0.00000000","crossWalletBalance":"0.00000000","crossUnPnl":"0.00000000","availableBalance":"0.00000000","maxWithdrawAmount":"0.00000000","marginAvailable":true,"updateTime":0},{"accountAlias":"XqXqFzSgmYmYTi","asset":"BNB","balance":"0.00000000","crossWalletBalance":"0.00000000","crossUnPnl":"0.00000000","availableBalance":"0.00000000","maxWithdrawAmount":"0.00000000","marginAvailable":true,"updateTime":0},{"accountAlias":"XqXqFzSgmYmYTi","asset":"ETH","balance":"0.00000000","crossWalletBalance":"0.00000000","crossUnPnl":"0.00000000","availableBalance":"0.00000000","maxWithdrawAmount":"0.00000000","marginAvailable":true,"updateTime":0},{"accountAlias":"XqXqFzSgmYmYTi","asset":"USDT","balance":"9.46986513","crossWalletBalance":"9.46986513","crossUnPnl":"-0.02582890","availableBalance":"7.98067658","maxWithdrawAmount":"7.98067658","marginAvailable":true,"updateTime":1692031919366},{"accountAlias":"XqXqFzSgmYmYTi","asset":"USDP","balance":"0.00000000","crossWalletBalance":"0.00000000","crossUnPnl":"0.00000000","availableBalance":"0.00000000","maxWithdrawAmount":"0.00000000","marginAvailable":true,"updateTime":0},{"accountAlias":"XqXqFzSgmYmYTi","asset":"USDC","balance":"0.00000000","crossWalletBalance":"0.00000000","crossUnPnl":"0.00000000","availableBalance":"0.00000000","maxWithdrawAmount":"0.00000000","marginAvailable":true,"updateTime":0},{"accountAlias":"XqXqFzSgmYmYTi","asset":"BUSD","balance":"0.00000000","crossWalletBalance":"0.00000000","crossUnPnl":"0.00000000","availableBalance":"0.00000000","maxWithdrawAmount":"0.00000000","marginAvailable":true,"updateTime":0}]
2023-08-15 00:15:06.165[1692033306165] | INFO  | http-nio-8082-exec-1 | c.b.c.f.client.utils.RequestHandler  - GET https://fapi.binance.com/fapi/v2/positionRisk?symbol=LEVERUSDT&timestamp=1692033306165&signature=9979baf836f273ecdc73de0cb60786e139fc326e06283dc77f8074c0d72561f2
2023-08-15 00:15:06.400[1692033306400] | INFO  | Thread-125 | c.b.f.service.BinanceServiceImpl     - {"symbol":"LEVERUSDT","price":"0.0013380","time":1692033304562}
2023-08-15 00:15:06.403[1692033306403] | INFO  | http-nio-8082-exec-1 | c.b.f.service.BinanceServiceImpl     - [{"symbol":"LEVERUSDT","positionAmt":"0","entryPrice":"0.0","markPrice":"0.00133772","unRealizedProfit":"0.00000000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"5000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"0","isolatedWallet":"0","updateTime":1691993244975}]
2023-08-15 00:15:06.403[1692033306403] | INFO  | http-nio-8082-exec-1 | c.b.f.service.BinanceServiceImpl     - Current quantity = 0
